Partlist exported from C:/Users/Nader/Documents/Electronics/Projects/Glass_uDrive/glass_udrive_pcb.sch at 5/3/2018 3:14 PM

Part     Value                            Device                           Package                                  Description                                                      MPN           OC_FARNELL OC_NEWARK PACKAGE  SUPPLIER      
AD8224   ANALOG-DEVICES-E14_AD8426ACPZ-R7 ANALOG-DEVICES-E14_AD8426ACPZ-R7 ANALOG-DEVICES-E14_QFN65P400X400X100-16N Wide Supply Range, Rail-to-Rail Output Instrumentation Amplifier AD8426ACPZ-R7 1971714    58T4523   LFCSP-16 Analog Devices
BRIDGE   100MOhm                          R_0402                           0402                                     Resistor                                                                                                                   
C1       .01uF                            C_0201                           0201                                     Capacitor                                                                                                                  
C2       .01uF                            C_0201                           0201                                     Capacitor                                                                                                                  
C3       6800pF                           C_0201                           0201                                     Capacitor                                                                                                                  
C4       6800pF                           C_0201                           0201                                     Capacitor                                                                                                                  
C5       6800pF                           C_0201                           0201                                     Capacitor                                                                                                                  
CAPCOM   10pF                             C_0402                           0402                                     Capacitor                                                                                                                  
GLASS                                     THROUGH-HOLE-30MIL/15MIL         30MIL/15MIL                              THROUGH-HOLE PAD                                                                                                           
GND                                       THROUGH-HOLE-30MIL/15MIL         30MIL/15MIL                              THROUGH-HOLE PAD                                                                                                           
ICOM                                      THROUGH-HOLE-30MIL/15MIL         30MIL/15MIL                              THROUGH-HOLE PAD                                                                                                           
IX                                        THROUGH-HOLE-30MIL/15MIL         30MIL/15MIL                              THROUGH-HOLE PAD                                                                                                           
METAL                                     THROUGH-HOLE-30MIL/15MIL         30MIL/15MIL                              THROUGH-HOLE PAD                                                                                                           
OMNETICS OMNETICS_A75243-001              OMNETICS_A75243-001              OMNETICS_A75243-001                                                                                                                                                 
R1       10Mohm                           R_0201                           0201                                     Resistor                                                                                                                   
R2       10MOhm                           R_0201                           0201                                     Resistor                                                                                                                   
R3       10Mohm                           R_0201                           0201                                     Resistor                                                                                                                   
R4       5.49KOhm                         R_0201                           0201                                     Resistor                                                                                                                   
R5       5.49KOhm                         R_0201                           0201                                     Resistor                                                                                                                   
REF                                       THROUGH-HOLE-30MIL/15MIL         30MIL/15MIL                              THROUGH-HOLE PAD                                                                                                           
STIM1_N                                   THROUGH-HOLE-30MIL/15MIL         30MIL/15MIL                              THROUGH-HOLE PAD                                                                                                           
STIM1_P                                   THROUGH-HOLE-30MIL/15MIL         30MIL/15MIL                              THROUGH-HOLE PAD                                                                                                           
STIM2_N                                   THROUGH-HOLE-30MIL/15MIL         30MIL/15MIL                              THROUGH-HOLE PAD                                                                                                           
STIM2_P                                   THROUGH-HOLE-30MIL/15MIL         30MIL/15MIL                              THROUGH-HOLE PAD                                                                                                           
